,cuid,pred_revenue_30,pred_convert_30
0,16838,65.29682333,0
1,532175,35.35866667,0
2,532176,86.25824889,0
3,532187,115.8973333,0
4,16938,87.89235111,0
5,532189,111.8735578,0
6,16948,85.11193333,0
7,532197,315.0603333,1
8,17017,0,0
9,17020,195.9496589,0
10,532205,249.4083489,0
11,532211,0,0
12,17139,306.1594844,1
13,17267,64.25252222,0
14,532226,82.73255556,0
15,17291,0,0
16,17308,3.216888889,0
17,532231,42.47911111,0
18,17378,2.166333333,0
19,17390,390.9379167,0
20,17431,810.3757334,0
21,17478,157.1558533,0
22,17545,82.12033333,1
23,17572,11.81544444,0
24,17633,147.3815556,0
25,532266,784.003,0
26,532276,23.66655556,0
27,532286,181.9582222,0
28,17882,274.4992222,1
29,532296,204.4165556,0
30,17953,0,0
31,18007,32.52866667,1
32,532314,54.51969444,0
33,532315,113.5385178,0
34,532317,99.45977778,0
35,18118,94.90188889,0
36,18142,202.2571389,0
37,18175,26.675,0
38,18178,11.49722222,0
39,18290,103.5568111,0
40,18337,4.530111111,0
41,18366,418.3547667,0
42,18434,16.43266667,0
43,18469,93.47979222,0
44,18499,34.72344444,0
45,18594,153.7934444,1
46,18617,317.0426022,0
47,18621,44.21944444,0
48,18633,50.52166667,0
49,532381,91.03736667,0
50,18781,76.91530667,0
51,18948,14.15029667,0
52,18958,47.38282,0
53,18963,6.120888889,0
54,18989,272.0911156,1
55,19036,3.646888889,0
56,532420,79.57455556,0
57,19117,98.55269,0
58,532425,15.59266667,0
59,19162,86.22038667,0
60,532432,0,0
61,19214,186.6096156,0
62,19313,98.16062111,1
63,19361,49.54622222,0
64,19384,10.10376222,0
65,19472,9.490333333,0
66,93194,125.5014711,0
67,93210,82.20979778,0
68,93214,52.46711111,0
69,532467,12.00611111,0
70,93283,149.4203289,1
71,532480,115.1689222,0
72,93402,4.888666667,0
73,93465,810.3757334,0
74,93601,2.421777778,0
75,532514,24.035,0
76,93741,4.499777778,1
77,93781,14.63036222,0
78,93822,43.75232444,0
79,93842,55.66122222,0
80,93846,19.95488889,0
81,93904,608.6276667,0
82,93908,0,0
83,532543,50.00844444,0
84,93920,0,1
85,94198,0,0
86,532577,360.4408889,0
87,94209,0,0
88,532579,0,0
89,94227,16.69955556,0
90,94282,19.39666667,0
91,94289,4.503783333,0
92,94309,68.93633333,0
93,532591,60.45777778,1
94,94374,9.097947778,0
95,94483,134.4676667,0
96,94530,66.064,0
97,532613,12.78510556,0
98,532619,84.279,0
99,94711,171.6874956,0
100,94781,72.04033333,1
101,94816,106.1979733,0
102,94832,247.2429267,0
103,94859,18.90737333,0
104,94867,15.93488889,0
105,94913,0,0
106,532646,71.17411111,0
107,94918,27.26337333,0
108,94962,179.6876611,0
109,532676,22.05029444,1
110,95309,15.35311111,0
111,95320,0,0
112,95391,170.0618667,0
113,95434,53.74977778,0
114,95451,5.133111111,0
115,532711,52.46168,0
116,95511,354.7733378,0
117,532714,81.10244444,0
118,95526,5.133111111,0
119,95678,4.754888889,1
120,95781,15.51111111,0
121,169530,596.4933511,0
122,169632,32.01911111,0
123,169637,51.88198333,0
124,532756,80.44266667,0
125,169793,2.323333333,0
126,169852,0,0
127,169995,1.022111111,0
128,170593,4.176888889,0
129,170768,4.589557778,1
130,170790,4.778444444,0
131,170813,230.485,0
132,170823,231.6996667,0
133,170826,96.67644444,0
134,170841,0,0
135,170880,6.061777778,0
136,170901,13.65177778,0
137,170917,57.864,0
138,170919,110.4221111,1
139,170925,34.94205333,0
140,170928,32.75966667,0
141,170940,42.17277889,0
142,532819,30.363,0
143,532820,45.49359778,0
144,532826,505.9524778,0
145,532827,0,0
146,532842,9.264,0
147,532869,95.80833333,0
148,532877,236.5942944,0
149,2841,33.70388222,1
150,2913,18.638,0
151,2956,0,0
152,2995,49.55458222,0
153,3011,1.046888889,0
154,3024,14.82777778,0
155,3025,0.566444444,0
156,3034,94.14,0
157,3127,59.32122222,0
158,3181,810.3757334,0
159,532923,101.5273578,0
160,79152,114.2464044,0
161,532932,280.0392644,1
162,79263,273.6524344,0
163,532946,66.44119444,1
164,79374,35.07727889,0
165,532951,135.6925022,0
166,79388,810.3757334,0
167,532956,24.74722222,1
168,79512,279.6397167,0
169,79517,0,0
170,79544,32.22233333,0
171,532973,130.1651444,0
172,155446,2568.980446,0
173,155470,59.14188889,0
174,11371,85.18238333,0
175,11422,149.699,0
176,533017,305.9256556,0
177,533021,134.3708589,0
178,11575,113.48,1
179,11587,118.1873778,0
180,11618,9.393405556,0
181,11637,569.6046833,0
182,533030,32.59277778,0
183,11716,185.2435133,0
184,11743,467.6028455,0
185,533040,259.9634056,0
186,11869,0,1
187,11931,49.54371667,0
188,11952,0.355444444,0
189,11959,0,0
190,11962,267.5158556,0
191,12165,96.67534,1
192,12211,200.5683222,1
193,12212,230.1243333,0
194,12218,33.18822222,0
195,12284,396.3779722,0
196,12373,110.3077778,0
197,533106,292.6586978,0
198,12499,145.1310122,0
199,533129,17.64719,1
200,12567,124.4424444,0
201,12603,1116.813064,0
202,12616,50.05958667,0
203,12720,46.12302222,1
204,12723,42.65188889,0
205,12776,46.33358,0
206,12882,36.50655556,0
207,12959,18.16455556,0
208,12998,0,0
209,533177,18.734,1
210,13058,32.81909778,0
211,533183,9.385444444,0
212,533184,162.2001111,0
213,13117,53.63197778,0
214,13163,13.53366667,0
215,13247,50.62688889,0
